0,35,65,190,320,465,725,840,940,1085,1345,1480,Zouying,
35,0,35,155,280,415,675,795,900,1045,1305,1445,Tainan,
65,35,0,125,250,385,645,765,870,1015,1280,1415,Chiayi,
190,155,125,0,125,270,520,645,755,890,1150,1290,Yunlin,
320,280,250,125,0,135,395,520,620,760,1025,1160,Changhua,
465,415,385,270,135,0,260,375,480,620,890,1025,Taichung,
725,675,645,520,395,260,0,125,220,365,630,765,Miaoli,
840,795,765,645,520,375,125,0,105,240,510,645,Hsinchu,
940,900,870,755,620,485,220,105,0,145,405,540,Taoyuan,
1085,1045,1015,890,765,620,365,240,145,0,270,395,Banqiao,
1345,1305,1280,1150,1025,890,630,510,405,270,0,135,Taipei,
1480,1445,1415,1290,1160,1025,765,645,540,395,135,0,Nangang,
Zouying,Tainan,Chiayi,Yunlin,Changhua,Taichung,Miaoli,Hsinchu,Taoyuan,Banqiao,Taipei,Nangang,